,total_sqft,bath,price,price_per_sqft
195,1327.0,2.0,98.0,7385.079125847777
196,1186.0,2.0,58.0,4890.387858347386
197,1783.0,3.0,115.0,6449.8037016264725
198,1400.0,3.0,56.0,4000.0
199,980.0,2.0,48.0,4897.959183673469
200,1285.0,2.0,82.0,6381.322957198444
201,912.0,2.0,70.0,7675.438596491228
202,1225.0,2.0,47.6,3885.714285714286
203,1075.0,2.0,53.0,4930.232558139535
204,1260.0,2.0,54.0,4285.714285714285
205,1282.0,2.0,48.7,3798.751950078003
206,1909.0,3.0,88.0,4609.743321110529
207,1359.0,2.0,87.0,6401.766004415011
208,1207.0,2.0,43.5,3603.976801988401
209,1736.0,6.0,190.0,10944.700460829494
210,2850.0,4.0,428.0,15017.543859649122
211,1595.0,3.0,65.0,4075.2351097178685
212,1798.0,3.0,89.0,4949.944382647386
213,1475.0,3.0,78.29,5307.796610169492
214,1580.0,3.0,100.0,6329.113924050633
215,1295.0,2.0,65.0,5019.305019305019
216,3600.0,6.0,141.0,3916.6666666666665
217,589.0,1.0,27.0,4584.040747028863
218,1415.0,3.0,78.0,5512.367491166077
219,1787.0,3.0,98.29,5500.279798545048
220,1787.0,3.0,125.0,6994.963626189144
221,1475.0,2.0,90.0,6101.6949152542375
222,2000.0,4.0,75.5,3775.0
223,984.0,2.0,44.28,4500.0
225,2405.0,4.0,260.0,10810.81081081081
226,1080.0,2.0,72.0,6666.666666666667
227,1500.0,2.0,115.0,7666.666666666667
228,1900.0,3.0,119.0,6263.1578947368425
229,805.0,2.0,22.14,2750.3105590062114
230,1153.0,2.0,56.4,4891.587163920208
231,1148.0,2.0,60.0,5226.480836236934
232,1110.0,2.0,55.0,4954.954954954955
233,1100.0,2.0,42.0,3818.181818181818
234,1290.0,2.0,110.0,8527.131782945737
235,1500.0,2.0,65.0,4333.333333333333
236,1080.0,2.0,39.0,3611.1111111111113
237,1933.0,3.0,129.0,6673.564407656492
238,3500.0,5.0,150.0,4285.714285714285
239,1060.0,2.0,60.0,5660.377358490566
240,645.0,1.0,16.45,2550.3875968992247
241,2600.0,8.0,180.0,6923.076923076923
242,645.0,1.0,16.45,2550.3875968992247
243,1644.0,3.0,84.0,5109.489051094891
244,1285.0,2.0,72.5,5642.023346303502
245,1200.0,3.0,90.0,7500.0
246,910.0,2.0,40.0,4395.604395604396
247,1577.0,3.0,70.0,4438.807863031072
248,4050.0,3.0,280.0,6913.580246913581
249,2420.0,3.0,185.0,7644.628099173554
250,800.0,1.0,20.0,2500.0
251,1060.0,2.0,55.0,5188.679245283019
252,1270.0,2.0,93.0,7322.834645669292
253,900.0,2.0,22.5,2500.0
254,1280.0,2.0,69.0,5390.625
255,1200.0,2.0,95.0,7916.666666666667
256,1025.0,2.0,36.0,3512.1951219512193
257,1108.0,2.0,63.0,5685.9205776173285
258,1200.0,5.0,170.0,14166.666666666666
259,3045.0,3.0,170.0,5582.922824302134
260,2900.0,3.0,300.0,10344.827586206897
261,1500.0,3.0,75.5,5033.333333333333
262,1295.0,2.0,43.9,3389.96138996139
263,1162.0,2.0,59.9,5154.9053356282275
264,1035.0,2.0,49.2,4753.623188405797
265,1600.0,4.0,52.8,3300.0
266,1464.0,3.0,46.0,3142.0765027322404
267,1866.0,2.0,61.58,3300.10718113612
268,700.0,1.0,26.0,3714.285714285714
269,1804.0,3.0,120.0,6651.884700665189
270,913.0,2.0,32.0,3504.9288061336256
271,1868.0,3.0,131.0,7012.847965738758
272,883.0,2.0,45.0,5096.262740656852
273,900.0,2.0,110.0,12222.222222222223
274,1664.0,2.0,73.95,4444.110576923077
275,2026.0,3.0,132.0,6515.301085883514
276,1210.0,2.0,80.9,6685.950413223141
277,4111.0,4.0,250.0,6081.24543906592
278,1762.0,3.0,91.45,5190.124858115778
279,1252.0,3.0,55.0,4392.97124600639
280,861.0,2.0,34.5,4006.968641114983
281,1420.0,2.0,100.0,7042.2535211267605
282,1450.0,6.0,250.0,17241.379310344826
283,1490.0,3.0,78.8,5288.5906040268455
284,1075.0,2.0,46.0,4279.069767441861
285,1425.0,2.0,94.0,6596.491228070176
286,1200.0,2.0,40.0,3333.3333333333335
287,1280.0,2.0,56.0,4375.0
288,1084.0,2.0,50.0,4612.546125461255
289,1015.0,2.0,25.88,2549.753694581281
290,1017.0,2.0,51.25,5039.331366764995
291,1027.0,2.0,44.0,4284.323271665044
292,1069.0,2.0,45.0,4209.541627689429
293,1349.0,2.0,98.2,7279.466271312083
294,1005.0,2.0,50.0,4975.124378109453
295,1417.0,2.0,75.0,5292.87226534933
296,1475.0,3.0,98.0,6644.067796610169
297,950.0,2.0,47.0,4947.368421052632
298,2000.0,4.0,120.0,6000.0
299,880.0,3.0,140.0,15909.09090909091
300,1863.0,3.0,104.0,5582.393988191089
301,1010.0,2.0,29.5,2920.792079207921
302,1425.0,2.0,70.0,4912.2807017543855
303,1450.0,3.0,100.0,6896.551724137931
304,1847.0,3.0,105.0,5684.89442338928
305,1100.0,2.0,45.0,4090.909090909091
306,525.0,1.0,26.0,4952.380952380952
307,1665.0,3.0,95.0,5705.705705705705
308,1664.0,4.0,65.0,3906.25
309,1850.0,3.0,150.0,8108.108108108108
310,1438.0,2.0,100.0,6954.102920723227
311,1560.0,3.0,115.0,7371.794871794872
312,1350.0,2.0,55.55,4114.814814814815
313,1550.0,3.0,67.0,4322.580645161291
314,1140.0,2.0,46.5,4078.9473684210525
315,1200.0,5.0,180.0,15000.0
316,850.0,2.0,27.0,3176.470588235294
317,1280.0,2.0,75.0,5859.375
318,1170.0,2.0,52.0,4444.444444444444
319,1113.0,2.0,51.0,4582.210242587601
320,1385.0,2.0,83.09,5999.27797833935
321,1128.0,2.0,65.0,5762.41134751773
322,1200.0,2.0,128.0,10666.666666666666
323,1200.0,4.0,165.0,13750.0
324,2390.0,3.0,415.0,17364.016736401674
325,2400.0,4.0,400.0,16666.666666666668
326,1464.0,3.0,56.0,3825.136612021858
327,1200.0,2.0,55.0,4583.333333333333
328,1200.0,2.0,52.0,4333.333333333333
329,1150.0,2.0,55.0,4782.608695652174
330,1645.0,3.0,95.0,5775.075987841945
331,1000.0,2.0,67.0,6700.0
332,2650.0,4.0,198.0,7471.698113207547
333,1192.0,2.0,74.0,6208.053691275168
334,2135.0,3.0,215.0,10070.257611241217
335,1173.0,2.0,58.0,4944.58653026428
336,1020.0,2.0,45.0,4411.764705882353
337,3122.0,6.0,230.0,7367.072389493914
338,1600.0,3.0,64.0,4000.0
339,1200.0,2.0,79.0,6583.333333333333
340,1230.0,2.0,48.0,3902.439024390244
341,1250.0,2.0,40.0,3200.0
342,1325.0,2.0,76.0,5735.8490566037735
343,1850.0,3.0,150.0,8108.108108108108
345,1200.0,2.0,65.0,5416.666666666667
346,1350.0,2.0,140.0,10370.37037037037
347,1260.0,3.0,49.36,3917.4603174603176
348,1800.0,3.0,150.0,8333.333333333334
349,11.0,3.0,74.0,672727.2727272727
350,1100.0,2.0,43.25,3931.818181818182
351,1508.0,2.0,77.0,5106.100795755968
352,1592.0,3.0,75.0,4711.05527638191
353,1388.0,2.0,57.0,4106.628242074928
354,630.0,1.0,28.35,4500.0
355,2000.0,3.0,365.0,18250.0
356,1762.0,3.0,125.0,7094.211123723042
357,950.0,2.0,50.0,5263.1578947368425
358,3252.0,5.0,335.0,10301.353013530135
359,1116.0,2.0,50.0,4480.286738351255
360,1308.0,2.0,89.04,6807.339449541284
361,1200.0,3.0,90.0,7500.0
362,1500.0,4.0,230.0,15333.333333333334
363,500.0,1.0,18.5,3700.0
364,1075.0,2.0,52.0,4837.209302325581
365,530.0,1.0,11.66,2200.0
366,1205.0,2.0,66.0,5477.178423236514
367,1075.0,2.0,60.0,5581.395348837209
368,930.0,2.0,39.0,4193.548387096775
369,1380.0,2.0,60.0,4347.826086956522
370,2483.0,5.0,212.0,8538.058799838904
371,1166.0,2.0,55.0,4716.981132075472
372,1050.0,2.0,65.0,6190.476190476191
373,2023.71,3.0,275.0,13588.903548433324
374,1200.0,2.0,46.8,3900.0
375,1600.0,2.0,108.0,6750.0
376,1935.0,3.0,110.0,5684.754521963824
377,451.0,1.0,29.9,6629.711751662971
378,1800.0,3.0,95.0,5277.777777777777
379,1400.0,3.0,77.0,5500.0
380,1801.0,3.0,115.0,6385.341476957246
381,1451.0,2.0,90.0,6202.618883528601
382,1200.0,1.0,36.0,3000.0
383,1160.0,2.0,44.0,3793.103448275862
384,1000.0,2.0,25.0,2500.0
385,950.0,2.0,40.0,4210.526315789473
386,1629.0,3.0,79.0,4849.600982197668
387,1580.0,2.0,134.0,8481.012658227848
388,1826.0,3.0,121.0,6626.506024096386
389,1245.0,2.0,94.0,7550.2008032128515
390,1145.0,2.0,45.79,3999.126637554585
391,825.0,2.0,33.0,4000.0
392,1693.0,3.0,108.0,6379.208505611341
393,1113.27,2.0,53.0,4760.74986301616
394,1460.0,2.0,58.0,3972.6027397260273
395,1050.0,2.0,32.0,3047.6190476190477
396,1260.0,2.0,55.0,4365.079365079365
397,700.0,3.0,120.0,17142.85714285714
398,1656.0,2.0,120.0,7246.376811594203
399,1208.0,3.0,45.0,3725.1655629139073
400,1910.0,3.0,161.0,8429.319371727748
401,3252.0,4.0,230.0,7072.570725707257
402,1200.0,2.0,65.0,5416.666666666667
403,1200.0,4.0,175.0,14583.333333333334
404,1175.0,2.0,82.0,6978.723404255319
405,1000.0,2.0,165.0,16500.0
406,1200.0,2.0,125.0,10416.666666666666
407,2390.0,3.0,410.0,17154.81171548117
408,12000.0,6.0,2200.0,18333.333333333332
409,550.0,1.0,62.0,11272.727272727272
411,1185.0,2.0,38.0,3206.7510548523205
412,750.0,2.0,38.0,5066.666666666667
413,1200.0,7.0,250.0,20833.333333333332
414,1550.0,3.0,64.5,4161.290322580645
415,1760.0,3.0,88.0,5000.0
416,1125.0,2.0,62.0,5511.111111111111
417,1350.0,3.0,150.0,11111.111111111111
418,1000.0,2.0,55.0,5500.0
419,1090.0,2.0,31.48,2888.0733944954127
420,1200.0,2.0,60.0,5000.0
421,1991.0,4.0,103.0,5173.279758915118
422,1060.0,2.0,26.5,2500.0
423,1105.0,2.0,75.0,6787.330316742082
424,985.0,2.0,67.0,6802.030456852792
425,1533.0,5.0,85.0,5544.683626875408
426,1590.0,3.0,79.0,4968.553459119496
427,1120.0,2.0,55.0,4910.714285714285
428,1069.0,2.0,55.0,5144.9953227315245
429,1933.0,3.0,140.0,7242.628039317124
430,1194.0,2.0,69.0,5778.894472361809
431,1150.0,2.0,69.0,6000.0
432,1240.0,2.0,47.12,3800.0
433,1419.0,2.0,48.1,3389.7110641296686
434,1200.0,8.0,250.0,20833.333333333332
435,2150.0,4.0,240.0,11162.790697674418
436,1450.0,3.0,55.0,3793.103448275862
437,1630.0,3.0,68.29,4189.57055214724
438,708.0,1.0,40.0,5649.717514124294
439,1000.0,4.0,110.0,11000.0
440,11890.0,4.0,700.0,5887.300252312868
441,1250.0,2.0,76.0,6080.0
442,1400.0,2.0,95.0,6785.714285714285
443,1670.0,2.0,57.0,3413.1736526946106
444,1750.0,3.0,100.0,5714.285714285715
445,1404.0,2.0,71.0,5056.980056980057
446,1715.0,2.0,95.0,5539.35860058309
447,630.0,1.0,34.65,5500.0
448,1752.12,3.0,135.0,7704.951715635916
449,1650.0,3.0,78.0,4727.272727272727
450,1295.0,2.0,55.47,4283.397683397683
451,1800.0,3.0,252.0,14000.0
452,1346.0,2.0,74.03,5500.0
453,1200.0,4.0,200.0,16666.666666666668
454,1150.0,2.0,55.0,4782.608695652174
455,3309.0,4.0,325.0,9821.698398307646
456,1190.0,2.0,30.35,2550.4201680672268
457,1620.0,3.0,98.0,6049.382716049383
458,950.0,2.0,46.96,4943.1578947368425
459,5000.0,9.0,360.0,7200.0
460,2450.0,3.0,120.0,4897.959183673469
461,1220.0,2.0,35.23,2887.7049180327863
462,850.0,2.0,30.0,3529.4117647058824
463,1020.0,2.0,63.0,6176.470588235294
464,1100.0,2.0,50.0,4545.454545454545
465,1150.0,2.0,126.0,10956.521739130434
466,1760.0,2.0,130.0,7386.363636363636
467,1800.0,3.0,110.0,6111.111111111111
468,1070.0,2.0,54.0,5046.728971962617
469,1500.0,4.0,220.0,14666.666666666666
470,1440.0,2.0,95.0,6597.222222222223
471,900.0,2.0,40.0,4444.444444444444
472,1200.0,4.0,230.0,19166.666666666668
473,1130.0,2.0,42.16,3730.973451327434
474,1320.0,2.0,165.0,12500.0
475,1270.0,2.0,98.0,7716.535433070866
476,1200.0,2.0,62.0,5166.666666666667
477,4800.0,4.0,235.0,4895.833333333333
478,1200.0,2.0,74.0,6166.666666666667
479,929.0,2.0,50.17,5400.4305705059205
480,1150.0,4.0,260.0,22608.695652173912
481,1125.0,4.0,180.0,16000.0
482,500.0,3.0,65.0,13000.0
483,1200.0,5.0,190.0,15833.333333333334
484,1464.0,3.0,56.0,3825.136612021858
485,3600.0,4.0,400.0,11111.111111111111
486,2000.0,4.0,99.0,4950.0
487,1208.0,2.0,49.0,4056.291390728477
488,1130.0,2.0,60.0,5309.734513274337
489,1753.0,3.0,120.0,6845.407872219053
490,4500.0,7.0,337.0,7488.888888888889
491,600.0,3.0,58.0,9666.666666666666
492,1196.0,2.0,94.42,7894.648829431439
493,1150.0,3.0,52.5,4565.217391304348
494,1128.0,2.0,63.0,5585.106382978724
495,1000.0,2.0,53.0,5300.0
496,1035.0,2.0,45.0,4347.826086956522
497,950.0,2.0,32.0,3368.4210526315787
498,1075.0,2.0,36.0,3348.8372093023254
499,1040.0,2.0,48.5,4663.461538461538
500,720.0,2.0,45.0,6250.0
501,1511.0,3.0,95.0,6287.22700198544
502,1300.0,3.0,58.0,4461.538461538462
503,1545.0,3.0,68.75,4449.838187702266
504,375.0,2.0,26.0,6933.333333333333
505,1062.0,2.0,38.0,3578.154425612053
506,1115.0,2.0,40.0,3587.4439461883408
507,1000.0,2.0,35.0,3500.0
508,883.0,2.0,45.0,5096.262740656852
509,1195.0,2.0,70.0,5857.740585774059
510,1200.0,3.0,165.0,13750.0
511,700.0,1.0,41.0,5857.142857142857
512,1246.0,2.0,67.0,5377.2070626003215
513,660.0,4.0,90.0,13636.363636363636
514,8500.0,4.0,145.0,1705.8823529411766
515,1600.0,4.0,80.0,5000.0
516,2805.0,5.0,154.0,5490.196078431372
517,1584.0,3.0,65.0,4103.535353535353
518,3000.0,5.0,275.0,9166.666666666666
519,1175.0,2.0,48.0,4085.1063829787236
520,1595.0,3.0,115.0,7210.031347962383
521,1353.0,2.0,110.0,8130.081300813008
522,1599.0,3.0,125.0,7817.385866166354
523,1150.0,2.0,70.0,6086.95652173913
524,5230.0,6.0,465.0,8891.013384321224
525,1155.0,2.0,42.74,3700.4329004329006
526,1200.0,2.0,85.0,7083.333333333333
527,1000.0,2.0,25.0,2500.0
528,3000.0,4.0,120.0,4000.0
529,1867.0,3.0,160.0,8569.89823245849
530,1251.0,2.0,47.0,3756.994404476419
531,1028.0,2.0,45.5,4426.070038910506
532,1222.0,2.0,45.0,3682.4877250409168
533,1170.0,2.0,66.0,5641.025641025641
534,2400.0,4.0,245.0,10208.333333333334
535,1385.0,2.0,48.48,3500.361010830325
536,1372.0,2.0,68.0,4956.268221574344
537,1282.0,2.0,49.0,3822.1528861154447
538,5000.0,9.0,210.0,4200.0
539,3000.0,3.0,528.0,17600.0
540,1135.0,2.0,39.73,3500.440528634361
541,1768.0,3.0,101.0,5712.669683257918
542,1325.0,2.0,90.0,6792.452830188679
543,1599.0,3.0,99.0,6191.369606003753
544,1500.0,3.0,61.95,4130.0
545,2610.0,3.0,499.0,19118.773946360154
546,1286.0,2.0,63.0,4898.9113530326595
547,2845.0,5.0,140.0,4920.91388400703
548,1600.0,2.0,50.0,3125.0
550,3450.0,5.0,260.0,7536.231884057971
551,1102.0,2.0,53.67,4870.235934664247
552,1350.0,2.0,54.0,4000.0
553,1200.0,2.0,42.0,3500.0
554,1300.0,6.0,145.0,11153.846153846154
555,1800.0,1.0,80.0,4444.444444444444
556,950.0,2.0,40.0,4210.526315789473
557,525.0,1.0,27.25,5190.476190476191
558,656.0,2.0,25.0,3810.9756097560976
559,1780.0,4.0,175.0,9831.460674157302
560,1056.0,2.0,80.0,7575.757575757576
561,595.0,1.0,33.32,5600.0
562,1080.0,2.0,50.0,4629.62962962963
563,2225.0,3.0,160.0,7191.011235955056
564,1126.0,2.0,28.15,2500.0
565,1490.0,3.0,84.0,5637.583892617449
566,2000.0,4.0,300.0,15000.0
567,1550.0,3.0,100.0,6451.612903225807
568,1600.0,3.0,86.0,5375.0
569,1160.0,2.0,55.0,4741.379310344828
570,4144.0,4.0,315.0,7601.351351351352
571,2100.0,3.0,125.0,5952.380952380952
572,1404.0,2.0,69.3,4935.897435897436
573,2230.0,4.0,225.0,10089.686098654709
574,1544.0,3.0,120.0,7772.020725388601
575,1305.0,2.0,58.7,4498.08429118774
576,1230.0,2.0,80.0,6504.065040650406
577,1200.0,2.0,65.0,5416.666666666667
578,1460.0,3.0,73.0,5000.0
580,967.0,2.0,45.0,4653.567735263702
581,540.0,1.0,36.0,6666.666666666667
582,715.0,1.0,46.0,6433.566433566433
583,2500.0,3.0,313.0,12520.0
584,1578.0,3.0,180.0,11406.84410646388
585,1020.0,2.0,48.95,4799.019607843137
586,1020.0,2.0,40.0,3921.5686274509803
587,1253.0,2.0,102.0,8140.462889066241
588,1180.0,2.0,42.0,3559.322033898305
589,961.0,2.0,38.0,3954.2143600416234
590,1419.0,3.0,75.0,5285.412262156448
591,1709.0,3.0,150.0,8777.062609713283
592,1600.0,2.0,115.0,7187.5
593,416.0,1.0,18.5,4447.115384615385
594,1100.0,2.0,98.0,8909.09090909091
595,1430.0,2.0,65.0,4545.454545454545
596,1260.0,2.0,45.0,3571.4285714285716
597,1630.0,3.0,85.0,5214.7239263803685
598,1249.0,3.0,44.71,3579.663730984788
599,1450.0,2.0,85.0,5862.068965517241
600,2791.0,3.0,223.0,7989.967753493372
601,600.0,1.0,90.0,15000.0
602,834.0,1.0,60.0,7194.244604316546
603,1125.0,4.0,70.0,6222.222222222223
604,2060.0,3.0,140.0,6796.116504854369
605,12000.0,7.0,2200.0,18333.333333333332
606,891.0,2.0,25.0,2805.8361391694725
607,1133.0,2.0,49.07,4330.979699911739
608,1075.0,2.0,37.0,3441.860465116279
609,3000.0,5.0,260.0,8666.666666666666
610,2440.0,5.0,425.0,17418.032786885247
611,1200.0,2.0,55.0,4583.333333333333
612,1075.0,2.0,45.8,4260.46511627907
613,1140.0,2.0,40.0,3508.7719298245615
614,940.0,4.0,150.0,15957.446808510638
615,2160.0,5.0,250.0,11574.074074074075
616,1090.0,2.0,42.0,3853.211009174312
617,1500.0,4.0,70.0,4666.666666666667
618,4104.0,4.0,360.0,8771.929824561403
619,1790.0,3.0,100.0,5586.592178770949
620,1920.0,3.0,134.0,6979.166666666667
621,1374.0,2.0,95.0,6914.1193595342065
622,1445.0,3.0,95.0,6574.39446366782
623,711.0,1.0,36.0,5063.291139240507
624,1500.0,3.0,95.0,6333.333333333333
625,1720.0,3.0,100.0,5813.953488372093
626,1400.0,3.0,60.0,4285.714285714285
627,1030.0,2.0,49.0,4757.281553398058
628,1200.0,2.0,85.0,7083.333333333333
629,1375.0,3.0,70.0,5090.909090909091
630,1050.0,1.0,56.0,5333.333333333333
631,2250.0,3.0,160.0,7111.111111111111
